observed,predicted,diff,country
2084.97,2105.225273000479,20.255273000479065,United Kingdom
2084.97,2106.929475632476,21.95947563247637,United Kingdom
2084.97,2108.664935185901,23.69493518590116,United Kingdom
2084.97,2110.4305715882965,25.460571588296716,United Kingdom
2084.97,2112.2252929279134,27.255292927913615,United Kingdom
2084.97,2114.0479994258494,29.07799942584961,United Kingdom
2084.97,2115.897587154435,30.92758715443506,United Kingdom
2084.97,2117.772951508802,32.80295150880238,United Kingdom
2084.97,2119.672990438809,34.70299043880914,United Kingdom
2084.97,2121.59660744867,36.626607448670256,United Kingdom
2084.97,2123.5427143718234,38.57271437182362,United Kingdom
2084.97,2125.510233928663,40.54023392866338,United Kingdom
2084.97,2127.4981020748833,42.52810207488346,United Kingdom
2084.97,2129.50527014823,44.53527014823021,United Kingdom
2084.97,2131.5307068215043,46.56070682150448,United Kingdom
2084.97,2133.573399869665,48.60339986966528,United Kingdom
2084.97,2135.6323577588796,50.66235775887981,United Kingdom
2084.97,2137.706611065328,52.73661106532836,United Kingdom
2092.08,2139.7952137315197,47.715213731519725,United Kingdom
