observed,predicted,diff,country
226.92000000000002,226.98131169426642,0.06131169426640781,Netherlands
226.92000000000002,226.99999541851219,0.07999541851216918,Netherlands
226.92000000000002,227.01826348303783,0.09826348303781174,Netherlands
226.92000000000002,227.04039297836866,0.12039297836864193,Netherlands
226.96,227.06768495061158,0.10768495061157068,Netherlands
226.96,227.0978869791192,0.13788697911920167,Netherlands
226.96,227.12703106695113,0.16703106695112524,Netherlands
227.00000000000003,227.1522338145133,0.15223381451326645,Netherlands
227.00000000000003,227.17350673885988,0.17350673885985657,Netherlands
227.00000000000003,227.19346988671364,0.19346988671361487,Netherlands
227.00000000000003,227.21536080210734,0.21536080210731257,Netherlands
227.07000000000002,227.24082514659892,0.1708251465989008,Netherlands
227.07000000000002,227.26897715663424,0.19897715663421423,Netherlands
227.07000000000002,227.29723158367702,0.22723158367699625,Netherlands
227.13,227.32318409051317,0.19318409051317076,Netherlands
227.13,227.34619045637186,0.21619045637186218,Netherlands
227.13,227.3676249042261,0.23762490422609517,Netherlands
227.13,227.38977318702754,0.25977318702754815,Netherlands
227.17000000000002,227.4142269432234,0.24422694322339566,Netherlands
227.17000000000002,227.44089358652587,0.27089358652585815,Netherlands
227.17000000000002,227.46821995545938,0.2982199554593592,Netherlands
227.24,227.49436433829362,0.2543643382936125,Netherlands
227.24,227.51844726347693,0.27844726347692017,Netherlands
227.24,227.5410428716256,0.3010428716255831,Netherlands
227.24,227.56365768966936,0.3236576896693464,Netherlands
227.3,227.58764043107226,0.2876404310722478,Netherlands
227.3,227.61330156427806,0.3133015642780492,Netherlands
227.3,227.6398071111287,0.33980711112869244,Netherlands
227.37,227.66584265223864,0.29584265223863326,Netherlands
227.37,227.6905324399972,0.3205324399972085,Netherlands
227.37,227.71397870976762,0.3439787097676117,Netherlands
227.37,227.73709962372925,0.36709962372924565,Netherlands
227.5,227.760940994003,0.2609409940029934,Netherlands
227.5,227.78596950974432,0.28596950974431934,Netherlands
227.5,227.81181858875775,0.3118185887577454,Netherlands
227.79000000000002,227.83761204217052,0.04761204217049908,Netherlands
227.79000000000002,227.8625949842741,0.07259498427407607,Netherlands
227.79000000000002,227.88662344220904,0.09662344220902241,Netherlands
227.79000000000002,227.9102011404414,0.12020114044136676,Netherlands
227.89000000000001,227.93408263350383,0.04408263350381958,Netherlands
227.89000000000001,227.95874808513722,0.06874808513720154,Netherlands
227.89000000000001,227.98411083063223,0.09411083063221781,Netherlands
228.07999999999998,228.00962950485277,-0.07037049514721616,Netherlands
228.07999999999998,228.03471132232582,-0.045288677674165,Netherlands
228.07999999999998,228.0591106734327,-0.020889326567271382,Netherlands
