iso_code,continent,country,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_vaccinations_smoothed_per_million,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,total_deaths_per_hundred,total_deaths_per_ratio,cid
LAO,Asia,Laos,45020.0,959.0,77.0,1.0,6063.252,0.000959,7.7e-05,1e-06,2462.0,80.56,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4.0,7.3,51.2,49.839,1.5,67.92,0.613,7529477.0,0.77,1.0226473897191e-05,107
LVA,Europe,Latvia,72869.0,781.0,1363.0,16.0,38885.886,0.000781,0.001363,1.6e-05,476.0,53.7,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51.0,47.964,5.57,75.29,0.866,1850654.0,13.63,0.0007364963953283541,108
LBN,Asia,Lebanon,285754.0,3505.0,2477.0,103.0,51094.735,0.003505,0.002477,0.000103,1133.0,85.19,594.561,31.1,8.514,5.43,13367.565,2.2,266.591,12.71,26.9,40.7,47.964,2.9,78.93,0.744,5489744.0,24.77,0.0004512050106525914,109
LSO,Africa,Lesotho,10709.0,0.0,315.0,0.0,4693.936,0.0,0.000315,0.0,178.0,60.19,73.562,22.2,4.506,2.647,2851.153,59.6,405.126,3.94,0.4,53.9,2.117,2.397,54.33,0.527,2305826.0,3.15,0.00013661048145003135,110
LBR,Africa,Liberia,1956.0,0.0,84.0,0.0,376.631,0.0,8.4e-05,0.0,1133.0,40.74,49.127,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,64.1,0.48,5302690.0,0.84,1.584101654066144e-05,111
LBY,Africa,Libya,126361.0,333.0,2009.0,20.0,18761.07,0.000333,0.002009,2e-05,1133.0,76.85,3.623,29.0,4.424,2.816,17881.509,2.2,341.862,10.43,6.2,31.2,47.964,3.7,72.91,0.724,6812344.0,20.09,0.0002949058356418877,112
LIE,Europe,Liechtenstein,2616.0,1.0,55.0,0.0,67009.913,1e-06,5.5e-05,0.0,2236.0,53.7,237.012,30.626080159524133,6.614,3.915,13111.214,2.2,242.648,7.77,6.2,31.2,47.964,2.397,82.49,0.919,39355.0,0.55,0.0013975352560030492,113
LTU,Europe,Lithuania,184754.0,306.0,2844.0,22.0,66299.655,0.000306,0.002844,2.2e-05,1502.0,70.37,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38.0,47.964,6.56,75.93,0.882,2750058.0,28.44,0.0010341600068071292,114
LUX,Europe,Luxembourg,50388.0,0.0,577.0,0.0,78814.868,0.0,0.000577,0.0,1041.0,51.85,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,47.964,4.51,82.25,0.916,647601.0,5.7700000000000005,0.0008909807118889563,115
MAC,Asia,Macao,791.0,0.0,6.0,0.0,1152.042,0.0,6e-06,0.0,1226.0,56.48,20546.766,39.2,9.798,4.991,104861.851,2.2,242.648,7.11,6.2,31.2,47.964,2.397,84.24,0.75,695180.0,0.060000000000000005,8.630858194999857e-06,116
MDG,Africa,Madagascar,19831.0,0.0,297.0,0.0,685.822,0.0,0.000297,0.0,1133.0,37.04,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,6.2,31.2,50.54,0.2,67.04,0.528,29611718.0,2.97,1.002981319759968e-05,117
MWI,Africa,Malawi,28876.0,246.0,937.0,11.0,1451.804,0.000246,0.000937,1.1e-05,1133.0,51.85,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.483,20405318.0,9.37,4.591940199118681e-05,118
MYS,Asia,Malaysia,203933.0,5725.0,733.0,16.0,6074.158,0.005725,0.000733,1.6e-05,1133.0,77.31,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,47.964,1.9,76.16,0.81,33938216.0,7.33,2.159807103590831e-05,119
MDV,Asia,Maldives,19479.0,133.0,60.0,0.0,37354.878,0.000133,6e-05,0.0,8834.0,47.24,1454.433,30.6,4.12,2.875,15183.616,2.2,164.905,9.19,2.1,55.0,95.803,2.397,78.92,0.74,523798.0,0.6,0.00011454797460089577,120
MLI,Africa,Mali,8192.0,11.0,339.0,0.0,373.979,1.1e-05,0.000339,0.0,1133.0,44.44,15.196,16.4,2.519,1.486,2014.306,2.2,268.024,2.42,1.6,23.0,52.232,0.1,59.31,0.434,22593598.0,3.39,1.5004250319050556e-05,121
MLT,Europe,Malta,20047.0,102.0,297.0,2.0,38058.047,0.000102,0.000297,2e-06,3313.0,52.78,1454.037,42.4,19.426,11.324,36513.323,0.2,168.711,8.83,20.9,30.2,47.964,4.485,82.53,0.895,533293.0,2.97,0.0005569171168569623,122
MHL,Oceania,Marshall Islands,15042.0,35.0,17.0,0.0,357717.004,3.5e-05,1.7e-05,0.0,1133.0,47.24,295.15,30.626080159524133,6.614,3.915,3819.202,2.2,557.793,30.53,6.2,31.2,82.502,2.7,73.7,0.704,41593.0,0.17,0.00040872262159497995,123
MRT,Africa,Mauritania,16827.0,20.0,427.0,1.0,3646.174,2e-05,0.000427,1e-06,1133.0,50.93,4.289,20.3,3.138,1.792,3597.633,6.0,232.347,2.42,6.2,31.2,15.95,2.397,64.92,0.546,4736146.0,4.2700000000000005,9.015769361839774e-05,124
MUS,Africa,Mauritius,583.0,15.0,10.0,0.0,448.836,1.5e-05,1e-05,0.0,45.0,19.44,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,47.964,3.4,74.99,0.804,1299478.0,0.1,7.695397690457244e-06,125
MEX,North America,Mexico,1869708.0,5448.0,159100.0,564.0,14756.371,0.005448,0.1591,0.000564,34.0,71.76,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,127504120.0,1591.0,0.0012478028160972368,126
FSM,Oceania,Micronesia (country),7198.0,2.0,21.0,0.0,63625.355,2e-06,2.1e-05,0.0,1133.0,47.24,150.777,23.0,4.81,2.392,3299.464,16.0,454.343,12.02,6.2,31.2,47.964,2.397,67.88,0.62,114178.0,0.21,0.00018392334775525933,127
MDA,Europe,Moldova,159513.0,653.0,3434.0,10.0,52102.789,0.000653,0.003434,1e-05,1133.0,57.41,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75,3272993.0,34.34,0.001049192589168385,128
MCO,Europe,Monaco,1774.0,14.0,21.0,0.0,48356.321,1.4e-05,2.1e-05,0.0,8057.0,57.41,19347.5,30.626080159524133,6.614,3.915,13111.214,2.2,242.648,5.46,6.2,31.2,47.964,13.8,86.75,0.75,36491.0,0.21,0.0005754843660080568,129
MNG,Asia,Mongolia,167229.0,1019.0,722.0,6.0,49952.177,0.001019,0.000722,6e-06,3386.0,61.11,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7.0,69.87,0.737,3398373.0,7.22,0.00021245460695456327,130
MNE,Europe,Montenegro,62476.0,504.0,818.0,7.0,99506.418,0.000504,0.000818,7e-06,1133.0,47.24,46.28,39.1,14.762,9.395,16409.288,1.0,387.305,10.08,44.0,47.9,47.964,3.861,76.88,0.829,627082.0,8.18,0.0013044546008337027,131
MSR,North America,Montserrat,20.0,0.0,1.0,0.0,4527.96,0.0,1e-06,0.0,9744.0,47.24,85.129,30.626080159524133,6.614,3.915,13111.214,2.2,242.648,7.11,6.2,31.2,47.964,2.397,74.16,0.75,4413.0,0.01,0.00022660321776569228,132
MAR,Africa,Morocco,464844.0,1138.0,8105.0,29.0,12537.401,0.001138,0.008105,2.9e-05,1133.0,76.85,80.08,29.6,6.769,4.209,7485.013,1.0,419.146,7.14,0.8,47.1,47.964,1.1,76.68,0.686,37457976.0,81.05,0.00021637581272410447,133
MOZ,Africa,Mozambique,66212.0,148.0,746.0,3.0,2064.153,0.000148,0.000746,3e-06,33.0,55.56,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,32969520.0,7.46,2.262695968882774e-05,134
MMR,Asia,Myanmar,141487.0,39.0,3181.0,1.0,2629.964,3.9e-05,0.003181,1e-06,382.0,70.37,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.287,0.9,67.13,0.583,54179312.0,31.81,5.871244728984377e-05,135
NAM,Africa,Namibia,46875.0,102.0,608.0,4.0,18526.562,0.000102,0.000608,4e-06,143.0,46.76,3.078,22.0,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,2.397,63.71,0.646,2567024.0,6.08,0.00023685014242173037,136
NRU,Oceania,Nauru,4407.0,0.0,1.0,0.0,352221.867,0.0,1e-06,0.0,946.0,47.24,682.45,30.626080159524133,6.614,3.915,12895.635,2.2,242.648,24.07,43.0,36.9,47.964,5.0,59.96,0.75,12691.0,0.01,7.87959971633441e-05,137
NPL,Asia,Nepal,275310.0,79.0,3014.0,0.0,9166.309,7.9e-05,0.003014,0.0,1452.0,29.63,204.43,25.0,5.809,3.212,2442.804,15.0,260.797,7.26,9.5,37.8,47.782,0.3,70.78,0.602,30547586.0,30.14,9.866573417618007e-05,138
NLD,Europe,Netherlands,976622.0,4198.0,13899.0,56.0,55801.563,0.004198,0.013899,5.6e-05,1263.0,82.41,508.544,43.2,18.779,11.881,48472.545,2.2,109.361,5.29,24.4,27.3,47.964,3.32,82.28,0.944,17564020.0,138.99,0.0007913336468530552,139
NCL,Oceania,New Caledonia,14157.0,328.0,282.0,0.0,49190.41,0.000328,0.000282,0.0,748.0,47.24,15.342,33.4,9.954,6.489,13111.214,2.2,242.648,23.36,6.2,31.2,47.964,2.397,77.55,0.75,289959.0,2.8200000000000003,0.0009725512917343487,140
NZL,Oceania,New Zealand,2322.0,2.0,28.0,0.0,452.656,2e-06,2.8e-05,0.0,1133.0,22.22,18.206,37.9,15.322,9.72,36085.843,2.2,128.797,8.08,14.8,17.2,47.964,2.61,82.29,0.931,5185289.0,0.27999999999999997,5.399891886450302e-06,141
NIC,North America,Nicaragua,4992.0,0.0,169.0,0.0,728.702,0.0,0.000169,0.0,1133.0,8.33,51.667,27.3,5.445,3.519,5321.444,3.2,137.016,11.47,6.2,31.2,47.964,0.9,74.48,0.66,6948395.0,1.69,2.432216360756693e-05,142
NER,Africa,Niger,4598.0,9.0,165.0,0.0,182.079,9e-06,0.000165,0.0,1133.0,28.7,16.955,15.1,2.553,1.378,926.0,44.5,238.339,2.42,0.1,15.4,8.978,0.3,62.42,0.394,26207982.0,1.65,6.295791869820423e-06,143
NGA,Africa,Nigeria,128674.0,1650.0,1577.0,30.0,602.967,0.00165,0.001577,3e-05,1133.0,58.33,209.588,18.1,2.751,1.447,5338.454,2.2,181.013,2.42,0.6,10.8,41.949,2.397,54.69,0.539,218541216.0,15.770000000000001,7.216030133190071e-06,144
PRK,Asia,North Korea,1.0,0.0,6.0,0.0,0.039,0.0,6e-06,0.0,1133.0,47.24,211.701,35.3,9.491,6.139,13111.214,2.2,321.681,4.0,6.2,31.2,47.964,13.2,72.27,0.75,26069416.0,0.060000000000000005,2.3015475298717853e-07,145
MKD,Europe,North Macedonia,93160.0,407.0,2873.0,7.0,44291.671,0.000407,0.002873,7e-06,1133.0,47.24,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,6.2,31.2,47.964,4.28,75.8,0.774,2093606.0,28.73,0.0013722734841226094,146
NOR,Europe,Norway,61961.0,367.0,556.0,6.0,11467.844,0.000367,0.000556,6e-06,992.0,70.37,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,47.964,3.6,82.4,0.957,5434324.0,5.56,0.00010231263354926942,147
OMN,Asia,Oman,135990.0,316.0,1535.0,1.0,30083.148,0.000316,0.001535,1e-06,38.0,45.37,14.98,30.7,2.355,1.53,37960.709,2.2,266.342,12.61,0.5,15.6,97.4,1.6,77.86,0.813,4576300.0,15.35,0.00033542381399820814,148
PAK,Asia,Pakistan,555511.0,1037.0,12026.0,59.0,2400.631,0.001037,0.012026,5.9e-05,14.0,50.46,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,235824864.0,120.26,5.099547094406466e-05,149
PLW,Oceania,Palau,4732.0,0.0,6.0,0.0,262538.837,0.0,6e-06,0.0,1133.0,47.24,47.237,30.626080159524133,6.614,3.915,13240.405,2.2,242.648,15.89,7.7,22.7,47.964,4.8,73.7,0.826,18084.0,0.060000000000000005,0.00033178500331785003,150
PSE,Asia,Palestine,161087.0,661.0,1865.0,8.0,31380.226,0.000661,0.001865,8e-06,1133.0,77.78,778.202,20.4,3.043,1.726,4449.898,1.0,265.91,10.59,6.2,31.2,47.964,2.397,74.05,0.708,5250076.0,18.65,0.0003552329528182068,151
PAN,North America,Panama,316808.0,1408.0,5196.0,20.0,72808.219,0.001408,0.005196,2e-05,194.0,76.85,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,47.964,2.3,78.51,0.815,4408582.0,51.96,0.00117861026516009,152
PNG,Oceania,Papua New Guinea,11273.0,11.0,121.0,6.0,1133.029,1.1e-05,0.000121,6e-06,21.0,50.0,18.22,22.6,3.808,2.142,3823.194,2.2,561.494,17.65,23.5,48.8,47.964,2.397,64.5,0.555,10142625.0,1.21,1.1929850507141889e-05,153
