iso_code,continent,country,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_vaccinations_smoothed_per_million,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,total_deaths_per_hundred,total_deaths_per_ratio,cid
AFG,Asia,Afghanistan,55174.0,53.0,2406.0,1.0,1375.929,5.3e-05,0.002406,1e-06,1133.0,12.04,54.422,18.6,2.581,1.337,1803.987,2.2,597.029,9.59,6.2,31.2,37.746,0.5,64.83,0.511,41128772.0,24.060000000000002,5.8499193703133174e-05,1
ALB,Europe,Albania,75454.0,887.0,1350.0,11.0,26431.406,0.000887,0.00135,1.1e-05,0.0,60.19,104.871,38.0,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,47.964,2.89,78.57,0.795,2842318.0,13.5,0.00047496444803150103,2
DZA,Africa,Algeria,105124.0,272.0,2856.0,3.0,2379.557,0.000272,0.002856,3e-06,1133.0,72.22,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748,44903228.0,28.56,6.360344516879722e-05,3
AND,Europe,Andorra,10070.0,53.0,103.0,1.0,127413.518,5.3e-05,0.000103,1e-06,689.0,55.56,163.755,30.626080159524133,6.614,3.915,13111.214,2.2,109.135,7.97,29.0,37.8,47.964,2.397,83.73,0.868,79843.0,1.03,0.0012900316871861028,4
AGO,Africa,Angola,20381.0,15.0,493.0,1.0,590.689,1.5e-05,0.000493,1e-06,1133.0,61.11,23.89,16.8,2.405,1.362,5819.495,2.2,276.045,3.94,6.2,31.2,26.664,2.397,61.15,0.581,35588996.0,4.93,1.3852596459872035e-05,5
AIA,North America,Anguilla,2270.0,0.0,7.0,0.0,144099.537,0.0,7e-06,0.0,1764.0,47.24,85.129,30.626080159524133,6.614,3.915,13111.214,2.2,242.648,7.11,6.2,31.2,47.964,2.397,81.88,0.75,15877.0,0.06999999999999999,0.0004408893367764691,6
ATG,North America,Antigua and Barbuda,427.0,8.0,9.0,0.0,4580.562,8e-06,9e-06,0.0,1133.0,47.24,231.845,32.1,6.933,4.631,21490.943,2.2,191.511,13.17,6.2,31.2,47.964,3.8,77.02,0.778,93772.0,0.09,9.597747728533038e-05,7
ARG,South America,Argentina,1867223.0,5031.0,46827.0,90.0,41240.19,0.005031,0.046827,9e-05,220.0,79.17,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,47.964,5.0,76.67,0.845,45510324.0,468.27,0.0010289313695064004,8
ARM,Asia,Armenia,167421.0,190.0,3096.0,7.0,59986.585,0.00019,0.003096,7e-06,1133.0,47.24,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776,2780472.0,30.959999999999997,0.0011134800134653398,9
ABW,North America,Aruba,6944.0,48.0,59.0,0.0,65179.845,4.8e-05,5.9e-05,0.0,1133.0,46.3,584.8,41.2,13.085,7.452,35973.781,2.2,242.648,11.62,6.2,31.2,47.964,2.397,76.29,0.75,106459.0,0.59,0.0005542039658460064,10
AUS,Oceania,Australia,28660.0,10.0,909.0,0.0,1105.663,1e-05,0.000909,0.0,1133.0,55.09,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,47.964,3.84,83.44,0.944,26177410.0,9.09,3.472459651279481e-05,11
AUT,Europe,Austria,403321.0,1425.0,9178.0,52.0,45204.808,0.001425,0.009178,5.2e-05,879.0,82.41,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,47.964,7.37,81.54,0.922,8939617.0,91.78,0.001026665907499169,12
AZE,Asia,Azerbaijan,229793.0,209.0,3113.0,8.0,22281.895,0.000209,0.003113,8e-06,314.0,79.63,119.309,32.4,6.018,3.871,15847.419,2.2,559.812,7.11,0.3,42.5,83.241,4.7,73.0,0.756,10358078.0,31.13,0.0003005383817345264,13
BHS,North America,Bahamas,8289.0,0.0,176.0,0.0,20320.858,0.0,0.000176,0.0,1133.0,68.98,39.497,34.3,8.996,5.2,27717.847,2.2,235.954,13.17,3.1,20.4,47.964,2.9,73.92,0.814,409989.0,1.76,0.0004292798099461205,14
BHR,Asia,Bahrain,103057.0,431.0,375.0,3.0,70429.485,0.000431,0.000375,3e-06,5238.0,58.33,1935.907,32.4,2.372,1.387,43290.705,2.2,151.689,16.52,5.8,37.6,47.964,2.0,77.29,0.852,1472237.0,3.75,0.0002547144243759666,15
BGD,Asia,Bangladesh,535582.0,443.0,8137.0,10.0,3162.458,0.000443,0.008137,1e-05,12.0,81.02,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,171186368.0,81.37,4.753299047737259e-05,16
BRB,North America,Barbados,1904.0,47.0,20.0,0.0,6770.982,4.7e-05,2e-05,0.0,1133.0,74.07,664.463,39.8,14.952,9.473,16978.068,2.2,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814,281646.0,0.2,7.101112744367042e-05,17
BLR,Europe,Belarus,261859.0,1799.0,1811.0,10.0,27339.153,0.001799,0.001811,1e-05,42.0,42.59,46.858,40.3,14.799,9.788,17167.967,2.2,443.129,5.18,10.5,46.1,47.964,11.0,74.79,0.823,9534956.0,18.11,0.0001899327065588976,18
BEL,Europe,Belgium,696642.0,1784.0,20879.0,65.0,59996.28,0.001784,0.020879,6.5e-05,1440.0,60.19,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,47.964,5.64,81.63,0.931,11655923.0,208.79000000000002,0.0017912781338723668,19
BLZ,North America,Belize,12134.0,20.0,313.0,0.0,30332.649,2e-05,0.000313,0.0,1133.0,73.15,16.426,25.0,3.853,2.279,7824.362,2.2,176.957,17.11,6.2,31.2,90.083,1.3,74.62,0.716,405285.0,3.1300000000000003,0.000772296038590128,20
BEN,Africa,Benin,4560.0,0.0,56.0,0.0,350.853,0.0,5.6e-05,0.0,1133.0,30.56,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545,13352864.0,0.5599999999999999,4.193856838502961e-06,21
BMU,North America,Bermuda,694.0,0.0,12.0,0.0,10812.495,0.0,1.2e-05,0.0,7024.0,50.93,1308.82,30.626080159524133,6.614,3.915,50669.315,2.2,139.547,13.0,6.2,31.2,47.964,2.397,82.59,0.75,64207.0,0.12000000000000001,0.0001868955098353762,22
BTN,Asia,Bhutan,2577.0,0.0,3.0,0.0,3314.529,0.0,3e-06,0.0,3931.0,72.22,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,6.2,31.2,79.807,1.7,71.78,0.654,782457.0,0.030000000000000002,3.834076505162584e-06,23
BOL,South America,Bolivia,232502.0,1771.0,10996.0,67.0,19247.696,0.001771,0.010996,6.7e-05,77.0,19.44,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,6.2,31.2,25.383,1.1,71.51,0.718,12224114.0,109.96000000000001,0.0008995334958427253,24
BES,North America,Bonaire Sint Eustatius and Saba,1615.0,0.0,17.0,0.0,60473.302,0.0,1.7e-05,0.0,7245.0,47.24,85.129,30.626080159524133,6.614,3.915,13111.214,2.2,242.648,7.11,6.2,31.2,47.964,2.397,77.79,0.75,27052.0,0.17,0.0006284193405293509,25
BIH,Europe,Bosnia and Herzegovina,122461.0,262.0,4737.0,13.0,37439.05,0.000262,0.004737,1.3e-05,1133.0,42.59,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.78,3233530.0,47.37,0.001464962440428881,26
BWA,Africa,Botswana,24435.0,932.0,179.0,16.0,9440.111,0.000932,0.000179,1.6e-05,1133.0,53.7,4.044,25.8,3.941,2.242,15807.374,2.2,237.372,4.81,5.7,34.4,47.964,1.8,69.59,0.735,2630300.0,1.7899999999999998,6.805307379386382e-05,27
BRA,South America,Brazil,9068004.0,60760.0,221801.0,1438.0,42309.354,0.06076,0.221801,0.001438,909.0,69.91,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,47.964,2.2,75.88,0.765,215313504.0,2218.0099999999998,0.0010301304650171873,28
VGB,North America,British Virgin Islands,114.0,0.0,1.0,0.0,3663.004,0.0,1e-06,0.0,1133.0,47.24,207.973,30.626080159524133,6.614,3.915,13111.214,2.2,242.648,13.67,6.2,31.2,47.964,2.397,79.07,0.75,31332.0,0.01,3.1916251755393846e-05,29
BRN,Asia,Brunei,180.0,0.0,3.0,0.0,404.156,0.0,3e-06,0.0,1133.0,35.19,81.347,32.4,4.591,2.382,71809.251,2.2,201.285,12.79,2.0,30.9,47.964,2.7,75.86,0.838,449002.0,0.030000000000000002,6.681484714990134e-06,30
BGR,Europe,Bulgaria,217014.0,598.0,8944.0,28.0,31515.852,0.000598,0.008944,2.8e-05,185.0,53.7,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,47.964,7.454,75.05,0.816,6781955.0,89.44000000000001,0.0013187937696431192,31
BFA,Africa,Burkina Faso,10103.0,65.0,117.0,5.0,457.135,6.5e-05,0.000117,5e-06,1133.0,16.67,70.151,17.6,2.409,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58,0.452,22673764.0,1.17,5.160148972177712e-06,32
BDI,Africa,Burundi,2034.0,3.0,3.0,0.0,162.056,3e-06,3e-06,0.0,1133.0,27.31,423.062,17.5,2.562,1.504,702.225,71.7,293.068,6.05,6.2,31.2,6.144,0.8,61.58,0.433,12889583.0,0.030000000000000002,2.3274608651032388e-07,33
KHM,Asia,Cambodia,101443.0,653.0,2067.0,9.0,6115.068,0.000653,0.002067,9e-06,7467.0,77.78,90.672,25.6,4.412,2.385,3645.07,2.2,270.892,4.0,2.0,33.7,66.229,0.8,69.82,0.594,16767851.0,20.669999999999998,0.00012327161065541433,34
CMR,Africa,Cameroon,30313.0,0.0,474.0,0.0,1114.505,0.0,0.000474,0.0,1133.0,24.07,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,6.2,31.2,2.735,1.3,59.29,0.563,27914542.0,4.739999999999999,1.6980396812528752e-05,35
CAN,North America,Canada,738597.0,5843.0,18688.0,140.0,19357.798,0.005843,0.018688,0.00014,1052.0,75.46,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,47.964,2.5,82.43,0.929,38454328.0,186.88,0.0004859791074752366,36
CPV,Africa,Cape Verde,14214.0,62.0,135.0,1.0,24176.553,6.2e-05,0.000135,1e-06,1133.0,59.26,135.58,25.7,4.46,3.437,6222.554,2.2,182.219,2.42,2.1,16.5,47.964,2.1,72.98,0.665,593162.0,1.35,0.00022759381079705038,37
CYM,North America,Cayman Islands,387.0,2.0,2.0,0.0,5679.817,2e-06,2e-06,0.0,4002.0,47.24,256.496,30.626080159524133,6.614,3.915,49903.029,2.2,242.648,13.22,6.2,31.2,47.964,2.397,83.92,0.75,68722.0,0.02,2.9102761852099765e-05,38
CAF,Africa,Central African Republic,5025.0,2.0,63.0,0.0,920.81,2e-06,6.3e-05,0.0,1133.0,12.96,7.479,18.3,3.655,2.251,661.24,2.2,435.727,6.1,6.2,31.2,16.603,1.0,53.28,0.397,5579148.0,0.63,1.1292046742620916e-05,39
TCD,Africa,Chad,4089.0,33.0,140.0,0.0,238.013,3.3e-05,0.00014,0.0,1133.0,22.22,11.833,16.7,2.486,1.446,1768.153,38.4,280.995,6.1,6.2,31.2,5.818,2.397,54.24,0.398,17723312.0,1.4,7.89920078143408e-06,40
CHL,South America,Chile,730888.0,3779.0,18537.0,85.0,37494.542,0.003779,0.018537,8.5e-05,5.0,79.17,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,47.964,2.11,80.18,0.851,19603736.0,185.37,0.000945585066030271,41
CHN,Asia,China,93679.0,22.0,4634.0,0.0,65.698,2.2e-05,0.004634,0.0,131.0,78.24,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,47.964,4.34,76.91,0.761,1425887360.0,46.34,3.249906079537727e-06,42
COL,South America,Colombia,2077633.0,10058.0,53284.0,371.0,40329.419,0.010058,0.053284,0.000371,1133.0,81.02,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,51874028.0,532.84,0.001027180692426661,43
COM,Africa,Comoros,3606.0,10.0,146.0,0.0,4388.858,1e-05,0.000146,0.0,1133.0,47.24,437.352,20.4,2.963,1.726,1413.89,18.1,261.516,11.88,4.4,23.6,15.574,2.2,64.32,0.554,836783.0,1.46,0.00017447773198069272,44
COG,Africa,Congo,8419.0,0.0,123.0,0.0,1442.646,0.0,0.000123,0.0,1133.0,43.52,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,2.397,64.57,0.574,5970430.0,1.23,2.060153121299471e-05,45
COK,Oceania,Cook Islands,5774.0,0.0,1.0,0.0,339587.132,0.0,1e-06,0.0,1133.0,47.24,85.129,30.626080159524133,6.614,3.915,13111.214,2.2,242.648,7.11,6.2,31.2,47.964,2.397,76.25,0.75,17032.0,0.01,5.871301080319399e-05,46
CRI,North America,Costa Rica,194569.0,1293.0,2634.0,30.0,37751.382,0.001293,0.002634,3e-05,264.0,66.67,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,5180836.0,26.34,0.0005084121558760015,47
CIV,Africa,Cote d'Ivoire,29825.0,258.0,162.0,0.0,1085.404,0.000258,0.000162,0.0,1133.0,17.59,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,6.2,31.2,19.351,2.397,57.78,0.538,28160548.0,1.62,5.752728959677916e-06,48
HRV,Europe,Croatia,229502.0,448.0,4882.0,23.0,56525.707,0.000448,0.004882,2.3e-05,645.0,56.48,73.726,44.0,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,47.964,5.54,78.49,0.851,4030361.0,48.82,0.0012113058855025643,49
CUB,North America,Cuba,26686.0,1012.0,214.0,1.0,2370.746,0.001012,0.000214,1e-06,1133.0,78.7,110.408,43.1,14.738,9.719,13111.214,2.2,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.783,11212198.0,2.14,1.908635577074183e-05,50
CUW,North America,Curacao,4585.0,0.0,21.0,0.0,24088.726,0.0,2.1e-05,0.0,1133.0,47.24,362.644,41.7,16.367,10.068,13111.214,2.2,242.648,11.62,6.2,31.2,47.964,2.397,78.88,0.75,191173.0,0.21,0.00010984814801253315,51
CYP,Europe,Cyprus,31635.0,128.0,203.0,0.0,35306.644,0.000128,0.000203,0.0,1199.0,80.56,127.657,37.3,13.416,8.563,32415.132,2.2,141.171,9.24,19.6,52.7,47.964,3.4,80.98,0.887,896007.0,2.03,0.00022656072999429692,52
CZE,Europe,Czechia,1021477.0,8125.0,16976.0,150.0,97184.026,0.008125,0.016976,0.00015,1083.0,81.48,137.176,43.3,19.027,11.58,32605.906,2.2,227.485,6.82,30.5,38.3,47.964,6.63,79.38,0.9,10493990.0,169.76000000000002,0.001617687838467542,53
COD,Africa,Democratic Republic of Congo,23043.0,201.0,675.0,2.0,240.296,0.000201,0.000675,2e-06,1133.0,52.78,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,6.2,31.2,4.472,2.397,60.68,0.48,99010216.0,6.75,6.81747830951101e-06,54
DNK,Europe,Denmark,194671.0,754.0,1983.0,14.0,33252.993,0.000754,0.001983,1.4e-05,794.0,70.37,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,47.964,2.5,80.9,0.94,5882259.0,19.83,0.0003371153837326782,55
DJI,Africa,Djibouti,6022.0,14.0,63.0,0.0,5447.028,1.4e-05,6.3e-05,0.0,1133.0,37.96,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,47.964,1.4,67.11,0.524,1120851.0,0.63,5.620729249472053e-05,56
DMA,North America,Dominica,7137.0,64.0,47.0,0.0,98561.012,6.4e-05,4.7e-05,0.0,1952.0,65.58,98.567,30.626080159524133,6.614,3.915,9673.367,2.2,227.376,11.62,6.2,31.2,47.964,3.8,75.0,0.742,72758.0,0.47,0.0006459770746859452,57
DOM,North America,Dominican Republic,210412.0,1802.0,2626.0,23.0,18925.561,0.001802,0.002626,2.3e-05,1133.0,70.37,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.182,1.6,74.08,0.756,11228821.0,26.259999999999998,0.00023386248654244288,58
ECU,South America,Ecuador,250828.0,1049.0,14859.0,8.0,14093.252,0.001049,0.014859,8e-06,21.0,69.44,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.759,18001002.0,148.59,0.0008254540497245654,59
EGY,Africa,Egypt,162486.0,669.0,9012.0,53.0,1487.12,0.000669,0.009012,5.3e-05,2.0,54.63,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.827,1.6,71.99,0.707,110990096.0,90.11999999999999,8.119643395929669e-05,60
SLV,North America,El Salvador,57638.0,210.0,1734.0,7.0,9128.362,0.00021,0.001734,7e-06,1133.0,46.3,307.811,27.6,8.273,5.417,7292.458,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32,0.673,6336393.0,17.34,0.0002736572684175366,61
GNQ,Africa,Equatorial Guinea,5747.0,0.0,88.0,0.0,3516.133,0.0,8.8e-05,0.0,1133.0,47.24,45.194,22.4,2.846,1.752,22604.873,2.2,202.812,7.78,6.2,31.2,24.64,2.1,58.74,0.592,1674916.0,0.88,5.253994827203275e-05,62
ERI,Africa,Eritrea,6576.0,0.0,35.0,0.0,1816.418,0.0,3.5e-05,0.0,1133.0,47.24,44.304,19.3,3.607,2.171,1510.459,2.2,311.11,6.05,0.2,11.4,47.964,0.7,66.32,0.459,3684041.0,0.35,9.5004371558297e-06,63
EST,Europe,Estonia,48809.0,542.0,474.0,8.0,36734.374,0.000542,0.000474,8e-06,1642.0,38.85,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,47.964,4.69,78.74,0.892,1326064.0,4.739999999999999,0.00035744881091712014,64
SWZ,Africa,Eswatini,16764.0,22.0,645.0,1.0,14060.562,2.2e-05,0.000645,1e-06,1133.0,75.0,79.492,21.5,3.163,1.845,7738.975,2.2,333.436,3.94,1.7,16.5,24.097,2.1,60.19,0.611,1201680.0,6.449999999999999,0.000536748552027162,65
ETH,Africa,Ethiopia,148490.0,665.0,2223.0,14.0,1234.505,0.000665,0.002223,1.4e-05,1133.0,37.96,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3,66.6,0.485,123379928.0,22.23,1.8017517403641216e-05,66
FRO,Europe,Faeroe Islands,991.0,0.0,2.0,0.0,18737.71,0.0,2e-06,0.0,3521.0,36.11,35.308,30.626080159524133,6.614,3.915,13111.214,2.2,242.648,7.11,6.2,31.2,47.964,2.397,80.67,0.75,53117.0,0.02,3.765272888152569e-05,67
FJI,Oceania,Fiji,121.0,0.0,2.0,0.0,130.866,0.0,2e-06,0.0,1895.0,60.19,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,47.964,2.3,67.44,0.743,929769.0,0.02,2.151071932920973e-06,68
FIN,Europe,Finland,40766.0,198.0,663.0,0.0,7363.811,0.000198,0.000663,0.0,900.0,52.31,18.136,42.8,21.228,13.264,40585.721,2.2,153.507,5.76,18.3,22.6,47.964,3.28,81.91,0.938,5540745.0,6.63,0.00011965899892523478,69
FRA,Europe,France,3005852.0,26758.0,71664.0,310.0,44582.658,0.026758,0.071664,0.00031,1134.0,63.89,122.578,42.0,19.718,13.079,38605.671,2.2,86.06,4.77,30.1,35.6,47.964,5.98,82.66,0.901,67813000.0,716.6400000000001,0.0010567885213749577,70
PYF,Oceania,French Polynesia,18860.0,0.0,142.0,0.0,62032.944,0.0,0.000142,0.0,3872.0,47.24,77.324,32.7,7.775,4.593,13111.214,2.2,242.648,22.63,6.2,31.2,47.964,2.397,77.66,0.75,306292.0,1.4200000000000002,0.0004636098886030324,71
GAB,Africa,Gabon,10952.0,204.0,68.0,0.0,4677.985,0.000204,6.8e-05,0.0,1133.0,65.74,7.859,23.1,4.45,2.976,16562.413,3.4,259.967,7.2,6.2,31.2,47.964,6.3,66.47,0.703,2388997.0,0.68,2.846382812535972e-05,72
GMB,Africa,Gambia,4184.0,0.0,132.0,0.0,1584.899,0.0,0.000132,0.0,1133.0,45.37,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.496,2705995.0,1.32,4.878057793898363e-05,73
GEO,Asia,Georgia,263601.0,544.0,3311.0,5.0,70144.333,0.000544,0.003311,5e-06,1133.0,80.56,65.032,38.7,14.864,10.244,9745.079,4.2,496.218,7.11,5.3,55.5,47.964,2.6,73.77,0.812,3744385.0,33.11,0.0008842573613557366,74
DEU,Europe,Germany,2148077.0,6412.0,52990.0,903.0,25753.677,0.006412,0.05299,0.000903,1141.0,83.33,237.016,46.6,21.453,15.957,45229.245,2.2,156.139,8.31,28.2,33.1,47.964,8.0,81.33,0.947,83369840.0,529.9,0.0006356015556704919,75
